,id,titel,output
55157,BWBR0005537/2816444,"Algemene wet bestuursrecht, Artikel 8:75","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:75</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
55166,BWBR0005537/2816534,"Algemene wet bestuursrecht, Artikel 8:81","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:81</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
54894,BWBR0005537/2819964,"Algemene wet bestuursrecht, Artikel 4:84","Uw vraag lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 4:84</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
91575,BWBR0008657/12714984,"Wet arbeidsongeschiktheidsvoorziening jonggehandicapten, Artikel 1a:1","Uw vraag lijkt te gaan om <b>Wet arbeidsongeschiktheidsvoorziening jonggehandicapten, Artikel 1a:1</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
118721,BWBR0011453/2551894,"Wet studiefinanciering 2000, Artikel 1.5","Uw vraag lijkt te gaan om <b>Wet studiefinanciering 2000, Artikel 1.5</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
121997,BWBR0011823/1384214,"Vreemdelingenwet 2000, Artikel 11","Uw vraag lijkt te gaan om <b>Vreemdelingenwet 2000, Artikel 11</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156639,BWBR0015703/12707504,"Participatiewet, Artikel 22a","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 22a</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156602,BWBR0015703/5407454,"Participatiewet, Artikel 3","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 3</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156614,BWBR0015703/5407554,"Participatiewet, Artikel 9","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 9</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156624,BWBR0015703/5407584,"Participatiewet, Artikel 11","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 11</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156626,BWBR0015703/5407604,"Participatiewet, Artikel 13","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 13</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156628,BWBR0015703/5407624,"Participatiewet, Artikel 15","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 15</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156630,BWBR0015703/5407654,"Participatiewet, Artikel 17","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 17</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156649,BWBR0015703/5407844,"Participatiewet, Artikel 31","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 31</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156653,BWBR0015703/5407904,"Participatiewet, Artikel 35","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 35</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156654,BWBR0015703/5407914,"Participatiewet, Artikel 36","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 36</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156664,BWBR0015703/5408014,"Participatiewet, Artikel 43","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 43</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156665,BWBR0015703/5408034,"Participatiewet, Artikel 44","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 44</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156677,BWBR0015703/5408104,"Participatiewet, Artikel 48","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 48</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156683,BWBR0015703/5408174,"Participatiewet, Artikel 53a","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 53a</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156684,BWBR0015703/5408184,"Participatiewet, Artikel 54","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 54</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
156688,BWBR0015703/5408244,"Participatiewet, Artikel 58","Uw vraag lijkt te gaan om <b>Participatiewet, Artikel 58</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
179060,BWBR0018450/7147214,"Zorgverzekeringswet, Artikel 69","Uw vraag lijkt te gaan om <b>Zorgverzekeringswet, Artikel 69</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
185154,BWBR0019057/7586704,"Wet werk en inkomen naar arbeidsvermogen, Artikel 4","Uw vraag lijkt te gaan om <b>Wet werk en inkomen naar arbeidsvermogen, Artikel 4</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
185155,BWBR0019057/7586714,"Wet werk en inkomen naar arbeidsvermogen, Artikel 5","Uw vraag lijkt te gaan om <b>Wet werk en inkomen naar arbeidsvermogen, Artikel 5</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
185156,BWBR0019057/7586724,"Wet werk en inkomen naar arbeidsvermogen, Artikel 6","Uw vraag lijkt te gaan om <b>Wet werk en inkomen naar arbeidsvermogen, Artikel 6</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
185177,BWBR0019057/7587004,"Wet werk en inkomen naar arbeidsvermogen, Artikel 25","Uw vraag lijkt te gaan om <b>Wet werk en inkomen naar arbeidsvermogen, Artikel 25</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
185211,BWBR0019057/7587394,"Wet werk en inkomen naar arbeidsvermogen, Artikel 54","Uw vraag lijkt te gaan om <b>Wet werk en inkomen naar arbeidsvermogen, Artikel 54</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
199019,BWBR0020434/8716844,"Beleidsregels schorsing, opschorting, intrekking en herziening uitkeringen 2006 , Artikel 3","Uw vraag lijkt te gaan om <b>Beleidsregels schorsing, opschorting, intrekking en herziening uitkeringen 2006 , Artikel 3</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
306489,BWBR0035362/12703944,"Wet maatschappelijke ondersteuning 2015 , Artikel 1.2.2","Uw vraag lijkt te gaan om <b>Wet maatschappelijke ondersteuning 2015 , Artikel 1.2.2</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
486114,BWBV0001000/10002355074,"Verdrag tot bescherming van de rechten van de mens en de fundamentele vrijheden, Artikel 3","Uw vraag lijkt te gaan om <b>Verdrag tot bescherming van de rechten van de mens en de fundamentele vrijheden, Artikel 3</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
486117,BWBV0001000/10002355104,"Verdrag tot bescherming van de rechten van de mens en de fundamentele vrijheden, Artikel 6","Uw vraag lijkt te gaan om <b>Verdrag tot bescherming van de rechten van de mens en de fundamentele vrijheden, Artikel 6</b>. Klopt dat? Dan vind u <a href='www.maxius.nl'>hier</a> meer informatie."
486118,ECLI:NL:CRVB:2015:4920,ECLI:NL:CRVB:2015:4920,Uw vraag lijkt te gaan om <b>het intrekken van een uitkering omwege de Ziektewet</b>. Klopt dat? ECLI:NL:CRVB:2015:4920
486119,ECLI:NL:CRVB:2016:5115,ECLI:NL:CRVB:2016:5115,Uw vraag lijkt te gaan om <b>het intrekken van een uitkering omwege de Ziektewet</b>. Klopt dat? 'ECLI:NL:CRVB:2016:5115
486120,ECLI:NL:RBDHA:2020:8481,ECLI:NL:RBDHA:2020:8481,Uw vraag lijkt te gaan om <b>het intrekken van een uitkering omwege de Ziektewet</b>. Klopt dat? ECLI:NL:RBDHA:2020:8481
